,Add,Temp,val,Day,,
591,Cellulose- 90,10,12401.12455,4,,
592,Cellulose- 90,10,16210.99162,5,,
593,Cellulose- 90,10,16210.99162,5,,
594,Cellulose- 90,10,16210.99162,5,,
595,Cellulose- 90,10,18320.01798,6,,
596,Cellulose- 90,10,18320.01798,6,,
597,Cellulose- 90,10,18320.01798,6,,
598,Cellulose- 90,10,19794.35429,7,,
599,Cellulose- 90,10,19794.35429,7,,
600,Cellulose- 90,10,19794.35429,7,,
601,Cellulose- 90,10,20622.24997,8,,
602,Cellulose- 90,10,20622.24997,8,,
603,Cellulose- 90,10,20622.24997,8,,
604,Coloidal cellulose,-6,0,1,,
605,Coloidal cellulose,-6,0,1,,
606,Coloidal cellulose,-6,0,1,,
607,Coloidal cellulose,-6,0,1,,
608,Coloidal cellulose,-6,90.68554163,2,,
609,Coloidal cellulose,-6,90.68554163,2,,
610,Coloidal cellulose,-6,90.68554163,2,,
611,Coloidal cellulose,-6,90.68554163,2,,
612,Coloidal cellulose,-6,152.0973354,3,,
613,Coloidal cellulose,-6,152.0973354,3,,
614,Coloidal cellulose,-6,152.0973354,3,,
615,Coloidal cellulose,-6,152.0973354,3,,
616,Coloidal cellulose,-6,225.8473564,4,,
617,Coloidal cellulose,-6,225.8473564,4,,
618,Coloidal cellulose,-6,225.8473564,4,,
619,Coloidal cellulose,-6,225.8473564,4,,
620,Coloidal cellulose,-6,290.9885153,5,,
621,Coloidal cellulose,-6,290.9885153,5,,
